instance_id,app_id,machine_id
0,10,6
1,2,6
2,24,17
3,10,4
4,17,2
5,0,4
6,10,24
7,2,6
8,10,24
9,24,19
10,2,8
11,23,13
12,23,12
13,2,7
14,23,12
15,24,19
16,24,17
17,25,19
18,25,19
19,17,14
20,17,12
21,3,5
22,3,24
23,3,5
24,3,24
25,1,20
26,5,18
27,1,19
28,1,20
29,28,15
30,5,18
31,12,3
32,12,2
33,4,10
34,4,10
35,4,10
36,31,24
37,19,5
38,19,16
39,19,5
40,6,9
41,26,10
42,6,7
43,6,1
44,6,1
45,15,20
46,15,0
47,26,10
48,14,23
49,14,23
50,14,23
51,26,3
52,15,20
53,13,9
54,14,23
55,13,21
56,30,6
57,13,9
58,30,2
59,22,1
60,30,2
61,8,12
62,22,6
63,8,9
64,8,12
65,9,19
66,9,8
67,7,13
68,9,11
69,7,11
70,21,6
71,21,15
72,21,6
73,31,21
74,31,3
75,27,0
76,11,16
77,27,0
78,27,3
79,11,18
80,32,11
81,18,15
82,20,8
83,29,10
84,18,4
85,29,1
86,32,17
87,33,7
88,32,18
89,16,11
90,20,11
91,29,12
92,20,0
93,33,14
94,16,23
95,18,2
96,33,14
97,18,22
98,20,8
99,16,11
